Conto;;Saldo Contabile;
29;COSTI PER SERVIZI;17.156,05;
29 / 5;   COSTI PER SERVIZI (INDUSTRIALI);1.832,50;
29 / 5 / 16;      Servizi vari deducibili;1.832,50;
29 / 10;   COSTI PER SERVIZI (COMMERCIALI);58,00;
29 / 10 / 18;      Spese rappresentanza (ded. 75%);58,00;
29 / 15;   COSTI PER SERVIZI (GENERALI);15.265,55;
29 / 15 / 11;      Servizi vari commerciali;12.385,23;
29 / 15 / 53;      Servizi amministrativi e contabili;711,52;
29 / 15 / 81;      Altre spese deducibili;219,60;
29 / 15 / 105;      Carbur./lubrific.autovett.(ded.20%;92,80;
29 / 15 / 1010;      Serv,prest.rese da prof.Minimi/For;1.856,40;
31;COSTI PER GODIMENTO BENI DI TERZI;1.800,00;
31 / 5;   LEASING,LOCAZIONI,NOLEGGI,LICENZE;1.800,00;
31 / 5 / 3;      Locazione uffici;1.800,00;
Conto;;Saldo Contabile;
44;RICAVI DELLE VENDITE E DELLE PREST.;;53.489,33
44 / 15;   RICAVI DELLE PRESTAZIONI;;53.489,33
44 / 15 / 1;      Prestazioni di servizi Italia;;53.489,33
